ID,Urun Adi,Kategori,Mevcut Fiyat (Normal),Boyutlu Fiyatlar (JSON),Yeni Fiyat (Normal)
66,"Hibiscus Çayı","Bitki Çayları",160,"",160
62,"Kış Çayı","Bitki Çayları",160,"",160
67,"Ihlamur","Bitki Çayları",180,"",180
63,"Kiraz Sapı","Bitki Çayları",0,"[{""size"":""M"",""price"":160}]",0
61,"Papatya Çayı","Bitki Çayları",160,"",160
64,"Yeşil Çay","Bitki Çayları",160,"",160
65,"Yaseminli Yeşil Çay","Bitki Çayları",180,"",180
48,"Blueorange Fresh","Bubble Tea",150,"",150
47,"Air Lime Fresh","Bubble Tea",150,"",150
49,"Coffeebon Milk","Bubble Tea",180,"",180
50,"Chai Tea Coffee","Bubble Tea",210,"",210
51,"Coffee Mocha Bubble","Bubble Tea",200,"",200
52,"Coffee Caramel Macchiato Bubble","Bubble Tea",220,"",220
46,"Queen Style Fresh","Bubble Tea",150,"",150
double-espresso,"Double Espresso","Coffee",80,"",80
33,"Double Espresso","Espresso",80,"",80
36,"Türk Kahvesi","Espresso",100,"",100
37,"Double Türk Kahvesi","Espresso",130,"",130
35,"Espresso Macchiato","Espresso",120,"",120
34,"Cortado","Espresso",135,"",135
32,"Espresso","Espresso",100,"",100
57,"Badem Sütü","Extra",40,"",40
56,"Ekstra Süt","Extra",30,"",30
custom-buzlu-bardak,"Buzlu Bardak","Extra",10,"",10
59,"Şurup","Extra",40,"",40
58,"Yulaf Sütü","Extra",40,"",40
55,"Espresso Shot","Extra",40,"",40
buzlu-bardak,"Buzlu Bardak","Extra",10,"",10
60,"V60/Chemex","Extra",180,"",180
45,"Beyaz Çikolata Frappe","Frappeler",180,"[{""size"":""S"",""price"":180},{""size"":""M"",""price"":190},{""size"":""L"",""price"":200}]",180
43,"Çikolata Frappe","Frappeler",180,"[{""size"":""S"",""price"":180},{""size"":""M"",""price"":190},{""size"":""L"",""price"":200}]",180
44,"Vanilla Frappe","Frappeler",180,"[{""size"":""S"",""price"":180},{""size"":""M"",""price"":190},{""size"":""L"",""price"":200}]",180
42,"Caramel Frappe","Frappeler",180,"[{""size"":""S"",""price"":180},{""size"":""M"",""price"":190},{""size"":""L"",""price"":200}]",180
101,"Espresso Çekirdeği (250g)","Kahve Çekirdekleri",450,"",450
102,"Filtre Kahve Çekirdeği (250g)","Kahve Çekirdekleri",400,"",400
103,"Türk Kahvesi Çekirdeği (250g)","Kahve Çekirdekleri",350,"",350
54,"Matcha Latte","Matchalar",170,"",170
53,"Çilekli Matcha Latte","Matchalar",180,"",180
104,"Coca Cola","Meşrubatlar",60,"",60
105,"Kola Turka","Meşrubatlar",50,"",50
107,"Sade Soda","Meşrubatlar",30,"",30
108,"Limonlu Soda","Meşrubatlar",35,"",35
106,"Su","Meşrubatlar",20,"",20
39,"Strawberry Milkshake","Milkshake",180,"[{""size"":""S"",""price"":180},{""size"":""M"",""price"":190},{""size"":""L"",""price"":200}]",180
38,"Chocolate Milkshake","Milkshake",180,"[{""size"":""S"",""price"":180},{""size"":""M"",""price"":190},{""size"":""L"",""price"":200}]",180
