Kategori;Ürün Adı;Mevcut Fiyat (Small/Tek);Mevcut Fiyat (Medium);Mevcut Fiyat (Large);YENİ FİYAT (Small/Tek);YENİ FİYAT (Medium);YENİ FİYAT (Large)
"Bitki Çayları";"Kış Çayı";160;;;?;?;?
"Bitki Çayları";"Yaseminli Yeşil Çay";180;;;?;?;?
"Bitki Çayları";"Yeşil Çay";160;;;?;?;?
"Bitki Çayları";"Kiraz Sapı";160;;;?;?;?
"Bitki Çayları";"Hibiscus Çayı";160;;;?;?;?
"Bitki Çayları";"Ihlamur";180;;;?;?;?
"Bitki Çayları";"Papatya Çayı";160;;;?;?;?
"Bubble Tea";"Coffee Caramel Macchiato Bubble";220;;;?;?;?
"Bubble Tea";"Chai Tea Coffee";210;;;?;?;?
"Bubble Tea";"Queen Style Fresh";150;;;?;?;?
"Bubble Tea";"Blueorange Fresh";150;;;?;?;?
"Bubble Tea";"Coffeebon Milk";180;;;?;?;?
"Bubble Tea";"Air Lime Fresh";150;;;?;?;?
"Bubble Tea";"Coffee Mocha Bubble";200;;;?;?;?
"Coffee";"Americano";140;150;160;?;?;?
"Coffee";"Double Espresso";80;;;?;?;?
"Espresso";"Double Espresso";80;;;?;?;?
"Espresso";"Espresso";100;;;?;?;?
"Espresso";"Espresso Macchiato";120;;;?;?;?
"Espresso";"Cortado";135;;;?;?;?
"Espresso";"Türk Kahvesi";100;;;?;?;?
"Espresso";"Double Türk Kahvesi";130;;;?;?;?
"Extra";"Ekstra Süt";30;;;?;?;?
"Extra";"Buzlu Bardak";10;;;?;?;?
"Extra";"V60/Chemex";180;;;?;?;?
"Extra";"Espresso Shot";40;;;?;?;?
"Extra";"Badem Sütü";40;;;?;?;?
"Extra";"Yulaf Sütü";40;;;?;?;?
"Extra";"Şurup";40;;;?;?;?
"Extra";"Buzlu Bardak";10;;;?;?;?
"Frappeler";"Çikolata Frappe";180;190;200;?;?;?
"Frappeler";"Caramel Frappe";180;190;200;?;?;?
"Frappeler";"Beyaz Çikolata Frappe";180;190;200;?;?;?
"Frappeler";"Vanilla Frappe";180;190;200;?;?;?
"Kahve Çekirdekleri";"Türk Kahvesi Çekirdeği (250g)";350;;;?;?;?
"Kahve Çekirdekleri";"Espresso Çekirdeği (250g)";450;;;?;?;?
"Kahve Çekirdekleri";"Filtre Kahve Çekirdeği (250g)";400;;;?;?;?
"Matchalar";"Matcha Latte";170;;;?;?;?
"Matchalar";"Çilekli Matcha Latte";180;;;?;?;?
"Meşrubatlar";"Coca Cola";60;;;?;?;?
"Meşrubatlar";"Sade Soda";30;;;?;?;?
"Meşrubatlar";"Kola Turka";50;;;?;?;?
"Meşrubatlar";"Su";20;;;?;?;?
"Meşrubatlar";"Limonlu Soda";35;;;?;?;?
"Milkshake";"Strawberry Milkshake";180;190;200;?;?;?
"Milkshake";"Chocolate Milkshake";180;190;200;?;?;?
"Milkshake";"Vanilla Milkshake";180;190;200;?;?;?
"Milkshake";"Banana Milkshake";180;190;200;?;?;?
"Püreler";"Antep Fıstığı Püresi";80;;;?;?;?
"Püreler";"Biscoff Püresi";60;;;?;?;?
"Püreler";"Çilek Püresi";60;;;?;?;?
"Püreler";"Mango Püresi";60;;;?;?;?
"Püreler";"Muz Püresi";60;;;?;?;?
"Soslar";"Karamel Sos";50;;;?;?;?
"Soslar";"Çikolata Sos";50;;;?;?;?
"Soslar";"Beyaz Çikolata Sos";50;;;?;?;?
"Soslar";"Salted Karamel Sos";50;;;?;?;?
"Soğuk Kahveler";"Iced Latte";150;160;170;?;?;?
"Soğuk Kahveler";"Cold Brew";165;175;185;?;?;?
"Soğuk Kahveler";"Iced Chocolate Cookie Latte";175;185;195;?;?;?
"Soğuk Kahveler";"Iced Americano";145;155;165;?;?;?
"Soğuk Kahveler";"Iced Salted Caramel Latte";180;190;200;?;?;?
"Soğuk Kahveler";"Iced Mocha";180;190;200;?;?;?
"Soğuk Kahveler";"Iced Chai Tea Latte";165;175;185;?;?;?
"Soğuk Kahveler";"Iced Caramel Macchiato";170;180;190;?;?;?
"Soğuk Kahveler";"Iced Toffeenut Latte";175;185;195;?;?;?
"Soğuk Kahveler";"Iced Cappuccino";150;160;170;?;?;?
"Soğuk Kahveler";"Iced White Mocha";180;190;200;?;?;?
"Soğuk Kahveler";"Iced Caramel Latte";170;180;190;?;?;?
"Soğuk Kahveler";"Iced Filtre Kahve";135;145;155;?;?;?
"Soğuk İçecekler";"Orange Mango";175;185;195;?;?;?
"Soğuk İçecekler";"Hibiscus Fresh";165;175;185;?;?;?
"Soğuk İçecekler";"Cool Lime Fresh";165;175;185;?;?;?
"Soğuk İçecekler";"Oreo Nocca Special";210;;;?;?;?
"Syrups";"Hazelnut";25;;;?;?;?
"Syrups";"Cookie";25;;;?;?;?
"Syrups";"Toffinat";25;;;?;?;?
"Syrups";"Mint";25;;;?;?;?
"Syrups";"Toffinat";25;;;?;?;?
"Syrups";"Cookie";25;;;?;?;?
"Syrups";"Mint";25;;;?;?;?
"Syrups";"Hazelnut";25;;;?;?;?
"Sütler";"Badem Sütü";50;;;?;?;?
"Sütler";"Laktozsuz Süt";30;;;?;?;?
"Sütler";"Yulaf Sütü";50;;;?;?;?
"Sütler";"Normal Süt";0;;;?;?;?
"Sıcak Kahveler";"Caramel Latte";160;170;180;?;?;?
"Sıcak Kahveler";"Filtre Kahve";125;135;145;?;?;?
"Sıcak Kahveler";"Salted Caramel Latte";170;180;190;?;?;?
"Sıcak Kahveler";"White Mocha";180;190;200;?;?;?
"Sıcak Kahveler";"Chai Tea Latte";155;165;175;?;?;?
"Sıcak Kahveler";"Americano";90;;;?;?;?
"Sıcak Kahveler";"Flat White";155;165;175;?;?;?
"Sıcak Kahveler";"Latte";140;150;160;?;?;?
"Sıcak Kahveler";"Chocolate Cookie Latte";165;175;185;?;?;?
"Sıcak Kahveler";"Sıcak Çikolata";160;180;200;?;?;?
"Sıcak Kahveler";"Cappuccino";140;150;160;?;?;?
"Sıcak Kahveler";"Toffeenut Latte";165;175;185;?;?;?
"Sıcak Kahveler";"Caramel Macchiato";160;170;180;?;?;?
"Sıcak Kahveler";"Mocha";170;180;190;?;?;?
"TATLILAR";"Orman Meyveli Tart";130;;;?;?;?
"TATLILAR";"San Sebastian";250;;;?;?;?
"TATLILAR";"Bella Vista";230;;;?;?;?
"TATLILAR";"Nocca Tatlı";230;;;?;?;?
"TATLILAR";"Sade Kruvasan";120;;;?;?;?
"TATLILAR";"Çikolatalı Kruvasan";140;;;?;?;?
"TATLILAR";"Çikolata Soslu Kruvasan";150;;;?;?;?
"TATLILAR";"Peynirli Kruvasan";230;;;?;?;?
"TATLILAR";"Fıstıklı Snickers";235;;;?;?;?
"Tozlar";"Çikolata Tozu";40;;;?;?;?
"Tozlar";"Vanilya Tozu";40;;;?;?;?
"Tozlar";"Sıcak Çikolata Tozu";120;;;?;?;?
"Tozlar";"Frappe Tozu";50;;;?;?;?
"Tozlar";"Salep";150;170;190;?;?;?
"Tozlar";"Muz Tozu";40;;;?;?;?
"Yan Ürünler";"Lokum";0;;;?;?;?
"Yan Ürünler";"Kurutulmuş Limon";0;;;?;?;?
"Şuruplar";"Menta Şurubu";40;;;?;?;?
"Şuruplar";"Karamel Şurubu";40;;;?;?;?
"Şuruplar";"Mint Şurubu";40;;;?;?;?
"Şuruplar";"Çilek Şurubu";40;;;?;?;?
"Şuruplar";"Muz Şurubu";40;;;?;?;?
"Şuruplar";"Fındık Şurubu";40;;;?;?;?
"Şuruplar";"Vanilya Şurubu";40;;;?;?;?
"Şuruplar";"Toffeenut Şurubu";40;;;?;?;?
"Şuruplar";"Çikolata Şurubu";40;;;?;?;?
"Şuruplar";"Chai Şurubu";40;;;?;?;?
"Şuruplar";"Beyaz Çikolata Şurubu";40;;;?;?;?
"Şuruplar";"Nar Şurubu";40;;;?;?;?
