Ürün Adı;Boyut;Hammadde;Miktar;Birim;Maliyet(Birim Başı)
Air Lime Fresh;;;;;
Americano;Small;Espresso Çekirdeği;18;g;0.6
Americano;Medium;Espresso Çekirdeği;18;g;0.6
Americano;Large;Espresso Çekirdeği;27;g;0.6
Americano;;;;;
Antep Fıstığı Püresi;;;;;
Badem Sütü;;;;;
Badem Sütü;;;;;
Banana Milkshake;Small;Toz: Muz;40;gr;0
Banana Milkshake;Small;Süt: Normal (Tam Yağlı);170;ml;0.04
Banana Milkshake;Medium;Toz: Muz;50;gr;0
Banana Milkshake;Medium;Süt: Normal (Tam Yağlı);200;ml;0.04
Banana Milkshake;Large;Toz: Muz;60;gr;0
Banana Milkshake;Large;Antep Fıstığı Püresi;230;ml;32
Beyaz Çikolata Frappe;Small;Espresso Çekirdeği;9;g;0.6
Beyaz Çikolata Frappe;Small;Süt: Normal (Tam Yağlı);100;ml;0.04
Beyaz Çikolata Frappe;Small;Sos: Beyaz Çikolata;10;ml;0
Beyaz Çikolata Frappe;Small;Şurup: Beyaz Çikolata;20;ml;0
Beyaz Çikolata Frappe;Small;Toz: Frappe;5;gr;0
Beyaz Çikolata Frappe;Medium;Espresso Çekirdeği;18;g;0.6
Beyaz Çikolata Frappe;Medium;Süt: Normal (Tam Yağlı);150;ml;0.04
Beyaz Çikolata Frappe;Medium;Şurup: Beyaz Çikolata;30;ml;0
Beyaz Çikolata Frappe;Medium;Sos: Beyaz Çikolata;15;ml;0
Beyaz Çikolata Frappe;Medium;Toz: Frappe;5;gr;0
Beyaz Çikolata Frappe;Large;Espresso Çekirdeği;18;g;0.6
Beyaz Çikolata Frappe;Large;Süt: Normal (Tam Yağlı);180;ml;0.04
Beyaz Çikolata Frappe;Large;Şurup: Beyaz Çikolata;40;ml;0
Beyaz Çikolata Frappe;Large;Sos: Beyaz Çikolata;20;ml;0
Beyaz Çikolata Frappe;Large;Toz: Frappe;5;gr;0
Beyaz Çikolata Sos;;;;;
Beyaz Çikolata Şurubu;;;;;
Biscoff Püresi;;;;;
Blueorange Fresh;;;;;
Buzlu Bardak;Large;Büyük Bardak (16oz);1;adet;3
Buzlu Bardak;;;;;
Cappuccino;Small;Espresso Çekirdeği;9;g;0.6
Cappuccino;Small;Süt: Normal (Tam Yağlı);180;ml;0.04
Cappuccino;Medium;Espresso Çekirdeği;18;g;0.6
Cappuccino;Medium;Süt: Normal (Tam Yağlı);315;ml;0.04
Cappuccino;Large;Espresso Çekirdeği;27;g;0.6
Cappuccino;Large;Süt: Normal (Tam Yağlı);365;ml;0.04
Caramel Frappe;Small;Espresso Çekirdeği;9;g;0.6
Caramel Frappe;Small;Süt: Normal (Tam Yağlı);100;ml;0.04
Caramel Frappe;Small;Şurup: Karamel;20;ml;0
Caramel Frappe;Small;Sos: Salted Karamel;10;ml;0
Caramel Frappe;Small;Toz: Frappe;5;gr;0
Caramel Frappe;Medium;Espresso Çekirdeği;18;g;0.6
Caramel Frappe;Medium;Süt: Normal (Tam Yağlı);150;ml;0.04
Caramel Frappe;Medium;Şurup: Karamel;30;ml;0
Caramel Frappe;Medium;Sos: Salted Karamel;15;ml;0
Caramel Frappe;Medium;Toz: Frappe;5;gr;0
Caramel Frappe;Large;Espresso Çekirdeği;18;g;0.6
Caramel Frappe;Large;Süt: Normal (Tam Yağlı);180;ml;0.04
Caramel Frappe;Large;Şurup: Karamel;40;ml;0
Caramel Frappe;Large;Sos: Salted Karamel;20;ml;0
Caramel Frappe;Large;Toz: Frappe;5;gr;0
Caramel Latte;Small;Espresso Çekirdeği;9;g;0.6
Caramel Latte;Small;Şurup: Karamel;5;ml;0
Caramel Latte;Small;Süt: Normal (Tam Yağlı);180;ml;0.04
Caramel Latte;Medium;Espresso Çekirdeği;18;g;0.6
Caramel Latte;Medium;Şurup: Karamel;10;ml;0
Caramel Latte;Medium;Süt: Normal (Tam Yağlı);300;ml;0.04
Caramel Latte;Large;Espresso Çekirdeği;18;g;0.6
Caramel Latte;Large;Şurup: Karamel;15;ml;0
Caramel Latte;Large;Süt: Normal (Tam Yağlı);315;ml;0.04
Caramel Macchiato;Small;Espresso Çekirdeği;9;g;0.6
Caramel Macchiato;Small;Şurup: Vanilya;10;ml;0
Caramel Macchiato;Small;Şurup: Karamel;5;ml;0
Caramel Macchiato;Small;Sos: Salted Karamel;5;ml;0
Caramel Macchiato;Small;Süt: Normal (Tam Yağlı);180;ml;0.04
Caramel Macchiato;Medium;Espresso Çekirdeği;18;g;0.6
Caramel Macchiato;Medium;Şurup: Vanilya;15;ml;0
Caramel Macchiato;Medium;Şurup: Karamel;10;ml;0
Caramel Macchiato;Medium;Sos: Salted Karamel;5;ml;0
Caramel Macchiato;Medium;Süt: Normal (Tam Yağlı);300;ml;0.04
Caramel Macchiato;Large;Espresso Çekirdeği;18;g;0.6
Caramel Macchiato;Large;Şurup: Vanilya;20;ml;0
Caramel Macchiato;Large;Şurup: Karamel;15;ml;0
Caramel Macchiato;Large;Sos: Salted Karamel;5;ml;0
Caramel Macchiato;Large;Süt: Normal (Tam Yağlı);315;ml;0.04
Chai Tea Coffee;Standart;Espresso Çekirdeği;9;g;0.6
Chai Tea Coffee;Standart;Süt: Normal (Tam Yağlı);270;ml;0.04
Chai Tea Coffee;Standart;Orta Bardak (14oz);1;adet;2.5
Chai Tea Latte;Small;Şurup: CHAI;30;ml;0
Chai Tea Latte;Small;Süt: Normal (Tam Yağlı);180;ml;0.04
Chai Tea Latte;Medium;Şurup: CHAI;40;ml;0
Chai Tea Latte;Medium;Süt: Normal (Tam Yağlı);300;ml;0.04
Chai Tea Latte;Large;Şurup: CHAI;50;ml;0
Chai Tea Latte;Large;Süt: Normal (Tam Yağlı);365;ml;0.04
Chai Şurubu;;;;;
