ID (DOKUNMAYIN),Kategori,Ürün Adı,Boyut (S/M/L veya Standart),Mevcut Reçete Durumu,Hammadde 1,Miktar 1,Hammadde 2,Miktar 2,Hammadde 3,Miktar 3,Hammadde 4,Miktar 4,Hammadde 5,Miktar 5
66,Bitki Çayları,Hibiscus Çayı,Standart,YOK,,,,,,,,,,
67,Bitki Çayları,Ihlamur,Standart,YOK,,,,,,,,,,
63,Bitki Çayları,Kiraz Sapı,Standart,YOK,,,,,,,,,,
62,Bitki Çayları,Kış Çayı,Standart,YOK,,,,,,,,,,
61,Bitki Çayları,Papatya Çayı,Standart,YOK,,,,,,,,,,
65,Bitki Çayları,Yaseminli Yeşil Çay,Standart,YOK,,,,,,,,,,
64,Bitki Çayları,Yeşil Çay,Standart,YOK,,,,,,,,,,
47,Bubble Tea,Air Lime Fresh,Small,YOK,,,,,,,,,,
47,Bubble Tea,Air Lime Fresh,Medium,YOK,,,,,,,,,,
47,Bubble Tea,Air Lime Fresh,Large,YOK,,,,,,,,,,
48,Bubble Tea,Blueorange Fresh,Small,YOK,,,,,,,,,,
48,Bubble Tea,Blueorange Fresh,Medium,YOK,,,,,,,,,,
48,Bubble Tea,Blueorange Fresh,Large,YOK,,,,,,,,,,
50,Bubble Tea,Chai Tea Coffee,Small,YOK,,,,,,,,,,
50,Bubble Tea,Chai Tea Coffee,Medium,YOK,,,,,,,,,,
50,Bubble Tea,Chai Tea Coffee,Large,YOK,,,,,,,,,,
52,Bubble Tea,Coffee Caramel Macchiato Bubble,Small,YOK,,,,,,,,,,
52,Bubble Tea,Coffee Caramel Macchiato Bubble,Medium,YOK,,,,,,,,,,
52,Bubble Tea,Coffee Caramel Macchiato Bubble,Large,YOK,,,,,,,,,,
51,Bubble Tea,Coffee Mocha Bubble,Small,YOK,,,,,,,,,,
51,Bubble Tea,Coffee Mocha Bubble,Medium,YOK,,,,,,,,,,
51,Bubble Tea,Coffee Mocha Bubble,Large,YOK,,,,,,,,,,
49,Bubble Tea,Coffeebon Milk,Small,YOK,,,,,,,,,,
49,Bubble Tea,Coffeebon Milk,Medium,YOK,,,,,,,,,,
49,Bubble Tea,Coffeebon Milk,Large,YOK,,,,,,,,,,
46,Bubble Tea,Queen Style Fresh,Small,YOK,,,,,,,,,,
46,Bubble Tea,Queen Style Fresh,Medium,YOK,,,,,,,,,,
46,Bubble Tea,Queen Style Fresh,Large,YOK,,,,,,,,,,
americano,Coffee,Americano,Standart,YOK,,,,,,,,,,
double-espresso,Coffee,Double Espresso,Standart,YOK,,,,,,,,,,
34,Espresso,Cortado,Standart,YOK,,,,,,,,,,
33,Espresso,Double Espresso,Standart,YOK,,,,,,,,,,
37,Espresso,Double Türk Kahvesi,Standart,YOK,,,,,,,,,,
32,Espresso,Espresso,Standart,YOK,,,,,,,,,,
35,Espresso,Espresso Macchiato,Standart,YOK,,,,,,,,,,
36,Espresso,Türk Kahvesi,Standart,YOK,,,,,,,,,,
57,Extra,Badem Sütü,Standart,YOK,,,,,,,,,,
buzlu-bardak,Extra,Buzlu Bardak,Standart,YOK,,,,,,,,,,
custom-buzlu-bardak,Extra,Buzlu Bardak,Standart,YOK,,,,,,,,,,
56,Extra,Ekstra Süt,Standart,YOK,,,,,,,,,,
55,Extra,Espresso Shot,Standart,VAR,Espresso Çekirdeği,9,,,,,,,,
60,Extra,V60/Chemex,Standart,VAR,Filtre Kahve Çekirdeği,20,,,,,,,,
58,Extra,Yulaf Sütü,Standart,YOK,,,,,,,,,,
59,Extra,Şurup,Standart,YOK,,,,,,,,,,
